"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"MDG_0000000007","PUBLISHED","2005","WPR","CHN","24.0 [22.6-25.5]","24.00000","22.60000","25.50000",""
"MDG_0000000007","PUBLISHED","2012","WPR","CHN","13.5 [12.7-14.4]","13.50000","12.70000","14.40000",""
"MDG_0000000007","PUBLISHED","2014","WPR","CHN","11.5 [10.6-12.6]","11.50000","10.60000","12.60000",""
"CM_01","PUBLISHED","2006","WPR","CHN","360","360.00000","","",""
"CM_02","PUBLISHED","2007","WPR","CHN","285","285.00000","","",""
"CM_01","PUBLISHED","2009","WPR","CHN","288","288.00000","","",""
"CM_02","PUBLISHED","2010","WPR","CHN","231","231.00000","","",""
"WHS3_40","PUBLISHED","2011","WPR","CHN","26.00","26.00000","","",""
"WHS3_45","PUBLISHED","2006","","CHN","1506","1506.00000","","",""
"WHS9_95","PUBLISHED","2013","WPR","CHN","1.7","1.66800","","",""
"WHS3_48","PUBLISHED","2014","WPR","CHN","56","56.00000","","",""
"TB_1","PUBLISHED","2010","WPR","CHN","87 [75-100]","87.00000","75.00000","100.00000",""
"TB_1","PUBLISHED","2012","WPR","CHN","87 [75-100]","87.00000","75.00000","100.00000",""
"MDG_0000000020","PUBLISHED","2010","WPR","CHN","78 [67-90]","78.00000","67.00000","90.00000",""
"MDG_0000000020","PUBLISHED","2008","WPR","CHN","85 [73-97]","85.00000","73.00000","97.00000",""
"MDG_0000000029","PUBLISHED","2005","WPR","CHN","No data","","","",""
"MDG_0000000029","PUBLISHED","2010","WPR","CHN","No data","","","",""
"MDG_0000000001","PUBLISHED","2012","WPR","CHN","11.6 [10.9-12.4]","11.60000","10.90000","12.40000",""
"MDG_0000000001","PUBLISHED","2014","WPR","CHN","9.9 [9.1-10.8]","9.90000","9.10000","10.80000",""
"WHOSIS_000003","PUBLISHED","2005","WPR","CHN","14.1 [12.9-15.4]","14.05270","12.87230","15.37590",""
"WHOSIS_000003","PUBLISHED","2007","WPR","CHN","11.4 [10.3-12.4]","11.35790","10.33880","12.41750",""
"WHOSIS_000003","PUBLISHED","2009","WPR","CHN","9.3 [8.4-10.1]","9.25379","8.40535","10.12660",""
"MDG_0000000007","PUBLISHED","2002","WPR","CHN","31.6 [29.8-33.6]","31.60000","29.80000","33.60000",""
"MDG_0000000007","PUBLISHED","2015","WPR","CHN","10.7 [9.6-11.9]","10.70000","9.60000","11.90000",""
"CM_01","PUBLISHED","2005","WPR","CHN","392","392.00000","","",""
"CM_02","PUBLISHED","2006","WPR","CHN","307","307.00000","","",""
"CM_01","PUBLISHED","2010","WPR","CHN","268","268.00000","","",""
"CM_02","PUBLISHED","2011","WPR","CHN","215","215.00000","","",""
"CM_03","PUBLISHED","2012","WPR","CHN","121","121.00000","","",""
"WHS3_51","PUBLISHED","2012","WPR","CHN","2.00","2.00000","","",""
"WHS9_CS","PUBLISHED","2011","WPR","CHN","73","73.19000","","",""
"WHS9_95","PUBLISHED","2011","WPR","CHN","1.66","1.66000","","",""
"WHS9_95","PUBLISHED","2012","WPR","CHN","1.66","1.66000","","",""
"WHS9_CS","PUBLISHED","2012","WPR","CHN","80","80.00000","","",""
"WHS10_1","PUBLISHED","2010","WPR","CHN","2010","2010.00000","","",""
"WHS3_45","PUBLISHED","2012","","CHN","1210","1210.00000","","",""
"WHS3_45","PUBLISHED","2013","","CHN","930","930.00000","","",""
"WHS9_93","PUBLISHED","2005","WPR","CHN","4930","4930.00000","","","Figure does not include Hong Kong nor Macao."
"WHS9_93","PUBLISHED","2006","WPR","CHN","5720","5720.00000","","","Figure does not include Hong Kong nor Macao."
"WHS3_49","PUBLISHED","2014","WPR","CHN","0","0.00000","","",""
"MDG_0000000005","PUBLISHED","2006","WPR","CHN","84.6","84.60000","","",""
"MALARIA001","PUBLISHED","2010","WPR","CHN","19","19.00000","","",""
"MALARIA001","PUBLISHED","2014","WPR","CHN","24","24.00000","","",""
"MALARIA001","PUBLISHED","2011","WPR","CHN","33","33.00000","","",""
"MALARIA001","PUBLISHED","2003","WPR","CHN","52","52.00000","","",""
"WHS3_48","PUBLISHED","2010","WPR","CHN","4 990","4990.00000","","",""
"WHS3_48","PUBLISHED","2005","WPR","CHN","19 304","19304.00000","","",""
"MDG_0000000017","PUBLISHED","2015","WPR","CHN","2.6 [2.5-2.7]","2.60000","2.50000","2.70000",""
"MDG_0000000017","PUBLISHED","2013","WPR","CHN","3.0 [2.9-3.1]","3.00000","2.90000","3.10000",""
"MDG_0000000017","PUBLISHED","2005","WPR","CHN","5.7 [5.6-5.9]","5.70000","5.60000","5.90000",""
"TB_1","PUBLISHED","2004","WPR","CHN","65 [53-81]","65.00000","53.00000","81.00000",""
"MDG_0000000025","PUBLISHED","2014","WPR","CHN","99.9","99.90000","","","Skilled attendant Source: National Bureau of Statistics of China. China Statistical Yearbook 2015. China Statistical Pres, 2015."
"MDG_0000000001","PUBLISHED","2004","WPR","CHN","22.2 [21.0-23.4]","22.20000","21.00000","23.40000",""
"MDG_0000000001","PUBLISHED","2007","WPR","CHN","17.1 [16.1-18.2]","17.10000","16.10000","18.20000",""
"WHOSIS_000003","PUBLISHED","2014","WPR","CHN","6.0 [5.3-6.7]","5.95134","5.29231","6.66800",""
"MDG_0000000007","PUBLISHED","2009","WPR","CHN","17.0 [16.0-18.1]","17.00000","16.00000","18.10000",""
